"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0192270947439216,-0.0167053204798845,FALSE,0.604069213308202,0.728378137200073,0.285621713613353,0.322622688784498
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0175438937105796,-0.0147073047529098,FALSE,0.529562565132962,0.643632841279116,0.2468535403183,0.293627620194543
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0227813852324698,-0.0197419808813276,FALSE,0.784367488973828,0.874260335662815,0.357318714686272,0.440667444153108
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196860657480784,-0.0166948563842257,FALSE,0.702906008641284,0.850957263705099,0.338155115528179,0.389483133985306
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0168233294573624,-0.0152912016342131,FALSE,0.631809547887402,0.801554811894218,0.302277640879541,0.367841627213332
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238615935110929,-0.0197076788267505,FALSE,0.840882420314474,0.990095053057219,0.399124288812658,0.457398601007699
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0197324992992006,-0.0166859565507875,FALSE,0.696204616466177,0.827814769552751,0.341242722398263,0.410669537434644
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0176971739330939,-0.0156104457192257,FALSE,0.656149197033435,0.751092173680027,0.315061304806652,0.365377380014956
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0247643278838133,-0.0206826015836547,FALSE,0.861956983313497,1.01587617508491,0.421510873646618,0.487518021885498
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0188002097278789,-0.0166428125306873,FALSE,0.756221690117392,0.942642342420125,0.343210094314088,0.399545685776146
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0167472566781269,-0.0146453585648863,FALSE,0.653640935716506,0.818017606105003,0.295122728122189,0.354707456992019
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238106629492739,-0.0196952864757327,FALSE,0.902618037373342,1.07223968019821,0.421007235319505,0.472507624434753
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196130251348631,-0.0176403073638332,FALSE,0.694868610009903,0.829942156360668,0.334796739057134,0.415298483467597
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0175739956234254,-0.015677439807738,FALSE,0.643475935849643,0.717833208727446,0.307117817898947,0.357730061217288
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0241904464048393,-0.0206818472091315,FALSE,0.824622454849703,1.00523268412685,0.401939447514917,0.500954741656223
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196840140969292,-0.0166843471443409,FALSE,0.616347472239362,0.879997186065717,0.294786563167084,0.397178564122552
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0175774482138352,-0.0147038815138664,FALSE,0.566407172844335,0.783405368240819,0.275516462470481,0.353582743457263
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0246710818437691,-0.0197461841547426,FALSE,0.835160716864719,1.00518372270118,0.39872963541075,0.452838142977556
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0196985118552726,-0.0166950115032108,FALSE,0.587425834759029,0.743699965135635,0.286378751217332,0.350321731631874
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0176502183284133,-0.0156476713041682,FALSE,0.542521098424003,0.706226096256009,0.267176054260042,0.335313276047204
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0242581057140771,-0.0216878919042469,FALSE,0.796204771384634,0.981616111022098,0.392329745026317,0.46514749004518
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0197466553929085,-0.0166663437264577,FALSE,0.703125640793436,0.85693765780343,0.322334850958388,0.39133630806451
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0176504781788189,-0.0153016212659612,FALSE,0.648904039567144,0.814040012811761,0.304428226239045,0.371699310360842
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0247138628333275,-0.0206864665790465,FALSE,0.884498048381497,1.02067641462494,0.405639206960204,0.471809610841045
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.019543178610039,-0.0173755311203419,FALSE,0.725338272304222,0.908075937325369,0.379759159435347,0.456414525670173
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0175393994633574,-0.0157170377919669,FALSE,0.650703559286252,0.81160435764397,0.341583395801724,0.409212349629179
