"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230258,-0.0210322,FALSE,0.93651339882362,1.1015050124388,0.440262835821974,0.489586427374835
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189916,-0.0179892,FALSE,0.651788925977468,0.819853184041923,0.318031076873584,0.375250978614061
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169662,-0.0159892,FALSE,0.570856262202779,0.7496669158593,0.267832488946927,0.331834352272384
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0229996,-0.0201212,FALSE,0.771302635494103,1.00727768902489,0.378000568335471,0.441255256346258
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0188724,-0.017096,FALSE,0.687787712128358,0.907765057033664,0.363212177189383,0.464062555981051
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016017,-0.0151028,FALSE,0.644020716003702,0.811401141670685,0.322500202155257,0.375929085700782
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0229176,-0.021082,FALSE,0.882621976751612,1.20883036292692,0.452451240183818,0.582638245529123
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190058,-0.0169766,FALSE,0.755174587853501,0.995063892429438,0.349847015972248,0.458700847314602
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160762,-0.0149944,FALSE,0.673282847034228,0.876257329681268,0.311299731500164,0.40393384047842
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0220646,-0.020018,FALSE,0.919395444290709,1.19447943373806,0.4158336090272,0.557527014937138
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190506,-0.0170176,FALSE,0.832399540292968,1.14290107598175,0.36151118741612,0.463095793392263
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170008,-0.01592,FALSE,0.75234681482676,1.03614697245884,0.327732970046468,0.438054617194928
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239762,-0.0209188,FALSE,0.944647519525254,1.31936374448618,0.411070523505954,0.534597274310004
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189752,-0.0171244,FALSE,0.73638912028458,0.932207761904703,0.351598609249919,0.442508833407457
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169584,-0.0151284,FALSE,0.633123336246043,0.85483925795301,0.309118237248146,0.412461094666713
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239808,-0.0201284,FALSE,0.931851763643065,1.20017863906494,0.450975500220199,0.555661860791094
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0180394,-0.0169324,FALSE,0.941997281424257,1.16390043191611,0.426942942712053,0.528906743270876
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160342,-0.014957,FALSE,0.842230977910268,0.98358020714969,0.37999932498888,0.434933350278879
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0220342,-0.0199784,FALSE,1.1257745860393,1.39986287297543,0.506731162663634,0.631091332463993
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189112,-0.0171242,FALSE,0.796356292596635,0.988868067689126,0.366326485550073,0.498363981796944
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016891,-0.0151376,FALSE,0.670821596261969,0.935112809856479,0.312383717932852,0.480642850789488
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0229896,-0.0201452,FALSE,0.965694444655185,1.17449793264316,0.445446093743905,0.582486289150649
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018889,-0.0171524,FALSE,0.70222643154292,0.819007139316988,0.334559858059387,0.392743112696785
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0168864,-0.0161,FALSE,0.650754750808021,0.703662716105052,0.311814572608261,0.365366863007314
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238772,-0.0211136,FALSE,0.894316378545001,1.04761941269137,0.43187575256456,0.547077441519575
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189058,-0.0179094,FALSE,0.643259782790633,0.874501159883159,0.303623973422649,0.380610321652565
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169556,-0.0159636,FALSE,0.580780685222019,0.770956852586281,0.265884298059644,0.337426112886649
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022968,-0.0210326,FALSE,0.780613792061893,1.04560748172975,0.381189213431804,0.455081157349937
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0199708,-0.017104,FALSE,0.684770072823485,0.872545496057559,0.327334787464724,0.423716221282761
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170604,-0.0159454,FALSE,0.607972316922936,0.798213733595016,0.289997988329417,0.38762002497641
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239852,-0.0210148,FALSE,0.853547772657035,1.02381679921246,0.41243810932874,0.494536189373736
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018969,-0.0170402,FALSE,0.772672141934666,0.988568359494494,0.375122892658304,0.46989639328786
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169236,-0.015056,FALSE,0.689126742224873,0.816090970099562,0.33126052213416,0.389540163435048
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022992,-0.0210188,FALSE,0.991013085213832,1.16959702221696,0.478362975892447,0.558698196255955
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190512,-0.0170502,FALSE,0.764570957549775,0.878853273001607,0.345812102686638,0.422115339524004
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169632,-0.0150636,FALSE,0.658592219220036,0.782544902419475,0.305206589058345,0.375858197636788
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239638,-0.0210014,FALSE,0.931277054961065,1.0434195384613,0.431581002093516,0.485558033523539
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01904,-0.0170904,FALSE,0.708675314332675,0.930046182631658,0.35605282284914,0.497206431445798
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169934,-0.0159674,FALSE,0.620686901134641,0.798509819925109,0.309362535834811,0.426886562682265
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0240892,-0.0209622,FALSE,0.883255610850615,1.08083504098335,0.443173936251105,0.579046094859853
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018978,-0.0171062,FALSE,0.659033016580589,0.824082107824459,0.337960619311176,0.429076680731131
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169382,-0.015999,FALSE,0.583122956809745,0.685279685528623,0.299833267808302,0.361971482139615
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239754,-0.0210458,FALSE,0.896105203311022,0.993599724733696,0.463567854637506,0.53085397570049
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.018887,-0.016127,FALSE,0.738553570670575,1.04452195785057,0.357042405918794,0.476950904868694
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0159468,-0.0150766,FALSE,0.67448657782114,0.938107381813484,0.331347412295009,0.430947250126256
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0228774,-0.02008,FALSE,0.869620201068478,1.225737201888,0.417567058325003,0.531134323821292
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.0198812,-0.0181168,FALSE,0.590964600360209,0.707023367632347,0.334872053215252,0.386214204987371
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0178536,-0.0161512,FALSE,0.532824481847467,0.660752674504633,0.300302141648031,0.360938662793654
"bivt","central","0.05",1000,0.05,"0.01",FALSE,0.0229836,-0.0220934,FALSE,0.728895679550423,0.850327801168427,0.418690560025486,0.463304338255171
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0181508,-0.016936,FALSE,0.573776347393528,0.74679781463529,0.259910437782598,0.318639577943296
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0161736,-0.0150132,FALSE,0.487124059262152,0.698192502778205,0.224551866895894,0.298871309595099
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0221208,-0.0208956,FALSE,0.710192171113586,0.917800264312903,0.32954576419964,0.412891841225138
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189502,-0.0170866,FALSE,0.723604145644241,0.94806834590735,0.331744731218592,0.432274831449538
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016993,-0.0160014,FALSE,0.65984513827756,0.896673755246082,0.309636752852187,0.404886447826479
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0229502,-0.021036,FALSE,0.883450096090373,1.12784280896593,0.405132478120871,0.507902787757777
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0192038,-0.0168854,FALSE,0.748782526240739,1.00268452077428,0.36418249417995,0.440064533017221
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0163122,-0.015753,FALSE,0.682087283790687,0.908664937136623,0.330532908886481,0.400972962892669
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023283,-0.0207582,FALSE,0.977042760900749,1.13384411771201,0.47859182800001,0.519823111741301
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190292,-0.0170168,FALSE,0.818320121782,0.989472300085201,0.352308452920559,0.406694376462785
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0170056,-0.015952,FALSE,0.72245798245681,0.869799538755684,0.304595565681001,0.354766408974059
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023048,-0.0209292,FALSE,0.963482305283185,1.19802538439909,0.41417001467924,0.488384871999584
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189106,-0.0170936,FALSE,0.534484937108665,0.838516024918337,0.277205708865861,0.416402670354589
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0169106,-0.015094,FALSE,0.463802743244057,0.748304416382734,0.234827281006643,0.371604057597169
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0229288,-0.0201116,FALSE,0.680432941252347,0.900632666674471,0.353736661739783,0.447249469619078
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190616,-0.0170308,FALSE,0.710013708324284,0.933642802834214,0.337484011424,0.424860335192133
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170258,-0.0150522,FALSE,0.631718816125674,0.877494066370219,0.302874404215799,0.399309481137144
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230616,-0.0209742,FALSE,0.897841062288344,1.07138256188422,0.435741475450605,0.488290887102675
