"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00531116762121953,-0.00288470513919688,0.240030433897205
"bivt",0.005,1000,"0.01",TRUE,0.00787766256089062,-0.00344310239656684,0.240030433897205
"bivt",0.005,1000,"0.05",TRUE,0.00679839382295153,-0.00288643331259066,0.304318340119605
"bivt",0.005,1000,"0.1",TRUE,0.00582591310947195,-0.00266425932516126,0.304318340119605
"bivt",0.005,1000,"0.01",TRUE,0.00767947708598514,-0.00316148461436368,0.304318340119605
"bivt",0.005,1000,"0.05",FALSE,0.00453521507705315,-0.0028631800755666,0.256019933746202
"bivt",0.005,1000,"0.1",FALSE,0.00397159312600488,-0.00249276964524033,0.256019933746202
"bivt",0.005,1000,"0.01",FALSE,0.00507020073696386,-0.00312405987943513,0.256019933746202
"bivt",0.005,1000,"0.05",FALSE,0.00795892713599183,-0.00296293638382181,0.259192220336874
"bivt",0.005,1000,"0.1",FALSE,0.00698825996520472,-0.00280860924467975,0.259192220336874
"bivt",0.005,1000,"0.01",FALSE,0.00984646041366949,-0.00340876481683175,0.259192220336874
"bivt",0.005,1000,"0.05",TRUE,0.00432113687510668,-0.00198040955065042,0.361156947075505
"bivt",0.005,1000,"0.1",TRUE,0.00412777627079685,-0.00182640161767946,0.361156947075505
"bivt",0.005,1000,"0.01",TRUE,0.00556068666069855,-0.00230843113622303,0.361156947075505
"bivt",0.005,1000,"0.05",TRUE,0.00352023632047336,-0.00254502084226257,0.355436797726393
"bivt",0.005,1000,"0.1",TRUE,0.00312016143203763,-0.00227180873721399,0.355436797726393
"bivt",0.005,1000,"0.01",TRUE,0.00538688544974272,-0.00289557339054356,0.355436797726393
"bivt",0.005,1000,"0.05",TRUE,0.0203630689504139,-0.00292409839403351,0.250929119251146
"bivt",0.005,1000,"0.1",TRUE,0.0108960936638696,-0.00268729636268818,0.250929119251146
"bivt",0.005,1000,"0.01",TRUE,0.0244712303527076,-0.0030939805427127,0.250929119251146
"bivt",0.005,1000,"0.05",TRUE,0.00389459848422301,-0.00236615425711216,0.322284873741665
"bivt",0.005,1000,"0.1",TRUE,0.0033473897322306,-0.0021615061649313,0.322284873741665
"bivt",0.005,1000,"0.01",TRUE,0.00572559820875132,-0.00261019845548101,0.322284873741665
"bivt",0.005,1000,"0.05",FALSE,0.00872883974138272,-0.00311804010891172,0.234325626321584
"bivt",0.005,1000,"0.1",FALSE,0.00722719886346877,-0.00273233569706141,0.234325626321584
"bivt",0.005,1000,"0.01",TRUE,0.0104329458143961,-0.00337152416138322,0.234325626321584
"bivt",0.005,1000,"0.05",FALSE,0.00722902947343493,-0.00333612047234396,0.197835974729802
"bivt",0.005,1000,"0.1",FALSE,0.00627692084063594,-0.0031881903177324,0.197835974729802
"bivt",0.005,1000,"0.01",FALSE,0.00921201398597663,-0.00358926274441542,0.197835974729802
"bivt",0.005,1000,"0.05",TRUE,0.00470769862361834,-0.00260440222426313,0.333500059231093
"bivt",0.005,1000,"0.1",TRUE,0.00437031584596901,-0.00251326676928899,0.333500059231093
