"dist","p","n","sim_id","theta","expected_r_bootstrapworld","true_r_bootstrapworld","true_bias","boot_bias"
"bivt",0.005,1000,4,0.512913086300374,3.92522532105887,3.99257566858596,-0.702583212673717,-0.0673503475270887
"bivt",0.005,1000,4,0.544970154194148,3.97006626086995,4.0680995129291,-0.716256049675327,-0.0980332520591527
"bivt",0.005,1000,4,0.577027222087921,3.96878136316854,3.98055747523519,-0.726997014802003,-0.0117761120666535
"bivt",0.005,1000,4,0.609084289981695,3.96437275374039,3.89217384063155,-0.736265120635194,0.0721989131088425
"bivt",0.005,1000,4,0.641141357875468,3.98757088720361,3.97743595507708,-0.746582717309204,0.0101349321265367
"bivt",0.005,1000,4,0.673198425769241,4.00137337873289,3.97883985761944,-0.755167448582029,0.0225335211134539
"bivt",0.005,1000,4,0.705255493663015,3.98867931116665,4.02121223230685,-0.763751367351449,-0.0325329211401995
"bivt",0.005,1000,4,0.737312561556788,3.92703261552326,3.9720646406306,-0.76894687791438,-0.0450320251073388
"bivt",0.005,1000,4,0.769369629450562,3.85120491719521,3.83856486231389,-0.773519839188819,0.0126400548813215
"bivt",0.005,1000,4,0.801426697344335,3.78999021013176,3.717442764733,-0.776332963329605,0.0725474453987682
"bivt",0.005,1000,4,0.833483765238108,3.75965805533159,3.67654678056831,-0.773992965437791,0.0831112747632745
"bivt",0.005,1000,4,0.865540833131882,3.74285606221578,3.69460247621588,-0.770100355860326,0.048253585999908
"bivt",0.005,1000,4,0.897597901025655,3.72092046268225,3.72330972719421,-0.763548165112121,-0.00238926451195942
"bivt",0.005,1000,4,0.929654968919429,3.69593029158494,3.63233252376575,-0.754033441008183,0.0635977678191884
"bivt",0.005,1000,4,0.961712036813202,3.68441169254581,3.57541086520101,-0.74475180639159,0.109000827344794
"bivt",0.005,1000,4,0.993769104706975,3.67603387547858,3.59254871701122,-0.732555195780997,0.0834851584673637
"bivt",0.005,1000,4,1.02582617260075,3.67349091790142,3.55488833621726,-0.720910942622392,0.118602581684158
"bivt",0.005,1000,4,1.05788324049452,3.67133364263969,3.48889220399177,-0.708012008494333,0.18244143864792
"bivt",0.005,1000,4,1.0899403083883,3.65493196959916,3.54445388020299,-0.697394461423024,0.110478089396166
"bivt",0.005,1000,4,1.12199737628207,3.63933402202873,3.48792334964388,-0.683057295227394,0.151410672384846
"bivt",0.005,1000,4,1.15405444417584,3.6501457003116,3.5785806908713,-0.670836189934778,0.0715650094403055
"bivt",0.005,1000,4,1.18611151206962,3.64168349239044,3.63759376657788,-0.6612714223311,0.00408972581255584
"bivt",0.005,1000,4,1.21816857996339,3.64491591719413,3.66390052408624,-0.6496088146785,-0.0189846068921025
"bivt",0.005,1000,4,1.25022564785716,3.63168581174269,3.62302736611303,-0.640183293559325,0.00865844562965501
"bivt",0.005,1000,4,1.28228271575094,3.6102819423618,3.58670099606961,-0.630380773145966,0.023580946292197
"bivt",0.005,1000,4,1.31433978364471,3.60526009876841,3.55471229588011,-0.622239738384413,0.0505478028883042
"bivt",0.005,1000,4,1.34639685153848,3.64809733480537,3.6997230577552,-0.614278898861215,-0.0516257229498307
"bivt",0.005,1000,4,1.37845391943226,3.67076180050638,3.70886242688727,-0.60711192704808,-0.0381006263808845
"bivt",0.005,1000,4,1.41051098732603,3.67493813569318,3.68838709118897,-0.601317937306459,-0.0134489554957926
"bivt",0.005,1000,4,1.4425680552198,3.6578629872935,3.67124945387045,-0.596424843462687,-0.0133864665769501
"bivt",0.005,1000,4,1.47462512311358,3.64467360781009,3.65801180598874,-0.591601310895889,-0.0133381981786429
"bivt",0.005,1000,4,1.50668219100735,3.63530109872351,3.64860499688051,-0.587149290919809,-0.0133038981569999
"bivt",0.005,1000,4,1.53873925890112,3.66476317340688,3.67685807686396,-0.584532889969844,-0.0120949034570739
"bivt",0.005,1000,4,1.5707963267949,3.66289749926811,3.67496896675169,-0.581107838720077,-0.0120714674835867
"bivt",0.005,1000,5,0,4.04353750723963,4.07068710342731,-0.576681537737896,-0.0271495961876775
"bivt",0.005,1000,5,0.0320570678937734,4.0301527399862,4.0727796316202,-0.57866112232144,-0.0426268916339962
"bivt",0.005,1000,5,0.0641141357875468,4.00213918494966,4.01531976231585,-0.582388259019866,-0.0131805773661897
"bivt",0.005,1000,5,0.0961712036813202,4.0124574735475,4.0256720329905,-0.587331333898525,-0.0132145594429911
"bivt",0.005,1000,5,0.128228271575094,4.02697779277891,4.04024017319517,-0.592274891598946,-0.0132623804162666
"bivt",0.005,1000,5,0.160285339468867,4.04577599371009,4.05910028380273,-0.598156613196884,-0.0133242900926351
"bivt",0.005,1000,5,0.19234240736264,4.06895125201552,4.0823518671111,-0.603756175650843,-0.0134006150955797
"bivt",0.005,1000,5,0.224399475256414,4.0492454833243,4.04740638169648,-0.610402108161023,0.00183910162782208
"bivt",0.005,1000,5,0.256456543150187,4.07063683135851,4.07934499007002,-0.618155131857492,-0.00870815871151631
"bivt",0.005,1000,5,0.288513611043961,4.10653006478097,4.11605483688607,-0.627358068032659,-0.00952477210510683
"bivt",0.005,1000,5,0.320570678937734,4.1382848734432,4.15774254134976,-0.635131855093542,-0.0194576679065648
"bivt",0.005,1000,5,0.352627746831507,4.1793097958942,4.20464808484468,-0.64354109839526,-0.0253382889504836
"bivt",0.005,1000,5,0.384684814725281,4.20525277392228,4.25704835109125,-0.653495832530178,-0.051795577168976
"bivt",0.005,1000,5,0.416741882619054,4.22240718152378,4.24138748599514,-0.664861518336403,-0.0189803044713601
"bivt",0.005,1000,5,0.448798950512828,4.20944684223361,4.27646204888904,-0.675306208300416,-0.0670152066554364
"bivt",0.005,1000,5,0.480856018406601,4.20766897851546,4.11018929727257,-0.687221313491534,0.0974796812428895
"bivt",0.005,1000,5,0.512913086300374,4.21942616614722,4.08815774868073,-0.702583212673717,0.13126841746649
"bivt",0.005,1000,5,0.544970154194148,4.25047201985115,4.14640320671811,-0.716256049675327,0.104068813133043
"bivt",0.005,1000,5,0.577027222087921,4.29534066572602,4.21279743466092,-0.726997014802003,0.0825432310650926
"bivt",0.005,1000,5,0.609084289981695,4.36160191361149,4.29802002446729,-0.736265120635194,0.063581889144193
"bivt",0.005,1000,5,0.641141357875468,4.41607059291481,4.39862347928872,-0.746582717309204,0.0174471136260976
"bivt",0.005,1000,5,0.673198425769241,4.4586390589961,4.43388043197049,-0.755167448582029,0.0247586270256122
