"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat_ch","xi_hat_hill","beta_hat","rho_hat"
"bivt",0.005,1000,46,0.448798950512828,-0.479738748570786,-0.571435593484629,-0.345692673996422,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.480856018406601,-0.490537585370262,-0.594389953175132,-0.359579022819912,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.512913086300374,-0.50503263945185,-0.623458435471641,-0.377164139128156,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.544970154194148,-0.517408260905157,-0.514043537590888,-0.310973077432486,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.577027222087921,-0.526999726885276,-0.352449704314582,-0.213216121156851,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.609084289981695,-0.535202126656877,-0.41914651463642,-0.253564673067292,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.641141357875468,-0.544953082450482,-0.237239802160885,-0.143519344126372,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.673198425769241,-0.553207217267621,-0.316679325897893,-0.191576660987204,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.705255493663015,-0.561543420583979,-0.384656756729285,-0.232699930352019,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.737312561556788,-0.566543695625072,-0.413527551943837,-0.250165454921919,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.769369629450562,-0.571179115597079,-0.573159741037767,-0.346735705240545,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.801426697344335,-0.574322967634718,-0.757539315266268,-0.458277003633759,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.833483765238108,-0.572297612285034,-0.61668790724177,-0.373068275946306,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.865540833131882,-0.568958059498916,-0.493380143412681,-0.298472659067317,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.897597901025655,-0.562829609450656,-0.39497884514414,-0.238944326721519,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.929654968919429,-0.554341209743792,-0.581536811146747,-0.351803453555923,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
"bivt",0.005,1000,46,0.961712036813202,-0.545990375059699,-0.567713077381715,-0.343440720214957,0.264269964842703,0.283411812188798,1.62512122351332,-0.753873018494798
