"dist","p","n","sim_id","theta","r_true","r_naive","r_lower","r_upper","xi_hat"
"bivt",0.005,1000,3,0.0641141357875468,4.53633601327794,3.65000524706116,3.65000524706116,4.22891709617484,0.25842190200291
"bivt",0.005,1000,3,0.0961712036813202,4.53987633787882,3.65941566628507,3.65941566628507,4.23982006207337,0.25842190200291
"bivt",0.005,1000,3,0.128228271575094,4.54712212626594,3.67265839446977,3.67265839446977,4.25516316320052,0.25842190200291
"bivt",0.005,1000,3,0.160285339468867,4.5579706791512,3.68980260881698,3.68980260881698,4.27502654866051,0.25842190200291
"bivt",0.005,1000,3,0.19234240736264,4.57230999009857,3.71093875888765,3.71093875888765,4.29951501383551,0.25842190200291
"bivt",0.005,1000,3,0.224399475256414,4.59001290276698,3.7361797465287,3.7361797465287,4.3287593674554,0.25842190200291
"bivt",0.005,1000,3,0.256456543150187,4.61093024367142,3.76566242518365,3.76566242518365,4.36291816870791,0.25842190200291
"bivt",0.005,1000,3,0.288513611043961,4.634943849209,3.79453948134737,3.79453948134737,4.31667989270813,0.25842190200291
"bivt",0.005,1000,3,0.320570678937734,4.66172596695062,3.82551186454676,3.82551186454676,4.36489030200279,0.25842190200291
"bivt",0.005,1000,3,0.352627746831507,4.69108879723264,3.86866934997744,3.86866934997744,4.41413278151541,0.25842190200291
"bivt",0.005,1000,3,0.384684814725281,4.7226959784185,3.91688249406659,3.91688249406659,4.46914374279724,0.25842190200291
"bivt",0.005,1000,3,0.416741882619054,4.75615657810007,3.95435002719475,3.95435002719475,4.53994651998867,0.25842190200291
"bivt",0.005,1000,3,0.448798950512828,4.79099872305092,4.01335463356035,4.01335463356035,4.60768907072155,0.25842190200291
"bivt",0.005,1000,3,0.480856018406601,4.82666019534754,3.98966076185042,3.98966076185042,4.66470741023788,0.25842190200291
"bivt",0.005,1000,3,0.512913086300374,4.86248240415204,4.05962875280965,4.05962875280965,4.51154958024235,0.25842190200291
"bivt",0.005,1000,3,0.544970154194148,4.89771010838726,4.13642097804673,4.13642097804673,4.59689037188356,0.25842190200291
"bivt",0.005,1000,3,0.577027222087921,4.93144632361991,4.0766466173576,4.0766466173576,4.77710026729575,0.25842190200291
"bivt",0.005,1000,3,0.609084289981695,4.96288894583104,4.16569692367114,4.16569692367114,4.8814512895997,0.25842190200291
"bivt",0.005,1000,3,0.641141357875468,4.99101519587439,4.26320310090497,4.26320310090497,4.99571107933557,0.25842190200291
"bivt",0.005,1000,3,0.673198425769241,5.01490633352194,4.33252778892431,4.33252778892431,5.14338546077024,0.25842190200291
"bivt",0.005,1000,3,0.705255493663015,5.03370096816743,4.37868704796564,4.37868704796564,5.3231276786691,0.25842190200291
