"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat"
"bivt",1e-04,50000,178,1.0899403083883,-0.127729454367026,-0.96585384554976,-0.407499098579174,0.252478107161582
"bivt",1e-04,50000,178,1.12199737628207,-0.114506661071868,-1.00435257354998,-0.423741925616432,0.252478107161582
"bivt",1e-04,50000,178,1.15405444417584,-0.104995919477657,-0.938867056724901,-0.396113222579046,0.252478107161582
"bivt",1e-04,50000,178,1.18611151206962,-0.0939254888542997,-0.832149295388555,-0.351088406715528,0.252478107161582
"bivt",1e-04,50000,178,1.21816857996339,-0.0853436980153237,-1.02786880801196,-0.433663555466937,0.252478107161582
"bivt",1e-04,50000,178,1.25022564785716,-0.0772584336611644,-0.972615824199981,-0.410352014905254,0.252478107161582
"bivt",1e-04,50000,178,1.28228271575094,-0.0705402160102544,-1.19981455180089,-0.506208419186595,0.252478107161582
"bivt",1e-04,50000,178,1.31433978364471,-0.0628905965951461,-1.15711787135607,-0.48819445271149,0.252478107161582
"bivt",1e-04,50000,178,1.34639685153848,-0.0574886254751945,-1.20484762091897,-0.508331898984451,0.252478107161582
"bivt",1e-04,50000,178,1.37845391943226,-0.0520000437410175,-1.21435430624204,-0.512342822290784,0.252478107161582
"bivt",1e-04,50000,178,1.41051098732603,-0.0455733199562385,-1.21079327048863,-0.510840401540265,0.252478107161582
"bivt",1e-04,50000,178,1.4425680552198,-0.0417743934018731,-1.2037488727038,-0.507868331013672,0.252478107161582
"bivt",1e-04,50000,178,1.47462512311358,-0.0372148028466039,-1.16745236318084,-0.492554632175775,0.252478107161582
"bivt",1e-04,50000,178,1.50668219100735,-0.0332141957080001,-1.12182604320709,-0.47330463452193,0.252478107161582
"bivt",1e-04,50000,178,1.53873925890112,-0.0304243058729412,-1.06976237877316,-0.451338685508726,0.252478107161582
"bivt",1e-04,50000,178,1.5707963267949,-0.0279004914320762,-1.0640999719636,-0.448949684645585,0.252478107161582
"bivt",1e-04,50000,179,0,-0.031221823310581,1.0254281121546,0.401530048554587,0.289835901387189
"bivt",1e-04,50000,179,0.0320570678937734,-0.0355948321230439,1.00267704065859,0.392621341318869,0.289835901387189
"bivt",1e-04,50000,179,0.0641141357875468,-0.0390621528694766,1.04796046240443,0.410353110437351,0.289835901387189
"bivt",1e-04,50000,179,0.0961712036813202,-0.0431958248984241,0.972994901035178,0.380998614359346,0.289835901387189
"bivt",1e-04,50000,179,0.128228271575094,-0.047543500922929,0.919850134405987,0.360188554178526,0.289835901387189
"bivt",1e-04,50000,179,0.160285339468867,-0.0520269164050582,0.888488864476852,0.347908324986331,0.289835901387189
"bivt",1e-04,50000,179,0.19234240736264,-0.0576793526624844,0.818604138471105,0.320543347282188,0.289835901387189
"bivt",1e-04,50000,179,0.224399475256414,-0.0613747469162575,0.736624470255256,0.288442315752992,0.289835901387189
"bivt",1e-04,50000,179,0.256456543150187,-0.0665857247661865,0.617784497038658,0.241907780908201,0.289835901387189
"bivt",1e-04,50000,179,0.288513611043961,-0.0739063775340547,0.501369439056833,0.196322777600938,0.289835901387189
"bivt",1e-04,50000,179,0.320570678937734,-0.0804896628685938,0.313342814972609,0.122696612486878,0.289835901387189
"bivt",1e-04,50000,179,0.352627746831507,-0.0871835418869402,0.168058178470714,0.0658070592774695,0.289835901387189
"bivt",1e-04,50000,179,0.384684814725281,-0.0970439535044481,0.117532398154168,0.0460225236447052,0.289835901387189
"bivt",1e-04,50000,179,0.416741882619054,-0.105940726315138,-0.00533197883443025,-0.00208785939736167,0.289835901387189
"bivt",1e-04,50000,179,0.448798950512828,-0.117463466477515,0.216904701743011,0.0849340430501666,0.289835901387189
"bivt",1e-04,50000,179,0.480856018406601,-0.128299869630728,0.228311812824254,0.0894007607186484,0.289835901387189
"bivt",1e-04,50000,179,0.512913086300374,-0.140110207498049,0.2509805847004,0.0982772416383852,0.289835901387189
"bivt",1e-04,50000,179,0.544970154194148,-0.152064674325059,0.0896041713395528,0.0350865817332302,0.289835901387189
"bivt",1e-04,50000,179,0.577027222087921,-0.16524733431728,-0.173672006492142,-0.0680052832302778,0.289835901387189
"bivt",1e-04,50000,179,0.609084289981694,-0.174312300241885,-0.342128113751631,-0.13396816071088,0.289835901387189
"bivt",1e-04,50000,179,0.641141357875468,-0.182380728776582,-0.524042558029312,-0.205200960726593,0.289835901387189
"bivt",1e-04,50000,179,0.673198425769241,-0.187597697413997,0.077137777422568,0.0302050774176621,0.289835901387189
"bivt",1e-04,50000,179,0.705255493663015,-0.194812562602561,0.374977426834412,0.146831067550249,0.289835901387189
"bivt",1e-04,50000,179,0.737312561556788,-0.201602670039675,0.068884528569207,0.0269733273090562,0.289835901387189
"bivt",1e-04,50000,179,0.769369629450562,-0.199683912847002,-0.322807136271213,-0.126402585968119,0.289835901387189
"bivt",1e-04,50000,179,0.801426697344335,-0.200429560671273,-0.665516860917279,-0.260598489850768,0.289835901387189
"bivt",1e-04,50000,179,0.833483765238108,-0.199252869075805,-0.633997564136275,-0.248256381596791,0.289835901387189
"bivt",1e-04,50000,179,0.865540833131882,-0.195041408819444,-0.78656580048089,-0.307997996461067,0.289835901387189
"bivt",1e-04,50000,179,0.897597901025655,-0.190777864010759,-0.419385010882272,-0.164219882200028,0.289835901387189
"bivt",1e-04,50000,179,0.929654968919429,-0.185427935100618,-0.301260761445176,-0.117965605523048,0.289835901387189
"bivt",1e-04,50000,179,0.961712036813202,-0.175296855183335,-0.491870279810933,-0.192603162517225,0.289835901387189
"bivt",1e-04,50000,179,0.993769104706975,-0.162994357023637,-0.683133943966269,-0.267496865395776,0.289835901387189
"bivt",1e-04,50000,179,1.02582617260075,-0.151307411095148,-0.983034340625366,-0.384929788683833,0.289835901387189
"bivt",1e-04,50000,179,1.05788324049452,-0.139213055104936,-1.01282645123489,-0.396595577321566,0.289835901387189
"bivt",1e-04,50000,179,1.0899403083883,-0.127729454367026,-0.882781496373371,-0.345673473255092,0.289835901387189
"bivt",1e-04,50000,179,1.12199737628207,-0.114506661071868,-0.709716464429544,-0.27790586492076,0.289835901387189
"bivt",1e-04,50000,179,1.15405444417584,-0.104995919477657,-0.707434124776157,-0.277012162143373,0.289835901387189
"bivt",1e-04,50000,179,1.18611151206962,-0.0939254888542997,-0.540796840965101,-0.211761486970182,0.289835901387189
