"dist","n","theta","true_bias","somrv_bias_correction"
"bivt",10000,0.384684814725281,-0.821199595449666,-0.837834082056365
"bivt",10000,0.416741882619054,-0.835265206528998,-0.851905909959095
"bivt",10000,0.448798950512828,-0.850273394519588,-0.866681101960947
"bivt",10000,0.480856018406601,-0.863873111927152,-0.881296337593509
"bivt",10000,0.512913086300374,-0.880992269721807,-0.89825132142938
"bivt",10000,0.544970154194148,-0.896232670450932,-0.911300824829942
"bivt",10000,0.577027222087921,-0.910718546108031,-0.924943265743816
"bivt",10000,0.609084289981694,-0.923093004384414,-0.939627542932351
"bivt",10000,0.641141357875468,-0.936896156951219,-0.952140122712321
"bivt",10000,0.673198425769241,-0.948391209566823,-0.963113500209756
"bivt",10000,0.705255493663015,-0.957826042274903,-0.973404950812607
"bivt",10000,0.737312561556788,-0.965899246773668,-0.978453142032003
"bivt",10000,0.769369629450562,-0.968060013409445,-0.981344817173776
"bivt",10000,0.801426697344335,-0.965465786724753,-0.9824941604008
"bivt",10000,0.833483765238108,-0.96212673190843,-0.978473619081685
"bivt",10000,0.865540833131882,-0.956111209001941,-0.973796916840894
"bivt",10000,0.897597901025655,-0.948443642502152,-0.965934964736635
"bivt",10000,0.929654968919429,-0.937448166367163,-0.955431596374118
"bivt",10000,0.961712036813202,-0.921835131546713,-0.942093053767755
"bivt",10000,0.993769104706975,-0.908289366702039,-0.926696554449949
"bivt",10000,1.02582617260075,-0.892103051167313,-0.910999668107613
"bivt",10000,1.05788324049452,-0.875562663134614,-0.893286125824217
"bivt",10000,1.0899403083883,-0.860839706533575,-0.877916793558412
"bivt",10000,1.12199737628207,-0.845931279419357,-0.863949345525656
"bivt",10000,1.15405444417584,-0.831724664625058,-0.848129705960091
"bivt",10000,1.18611151206962,-0.817095503465731,-0.834561996115105
"bivt",10000,1.21816857996339,-0.804255047742721,-0.820608362818808
"bivt",10000,1.25022564785716,-0.791503320743389,-0.808368304810369
"bivt",10000,1.28228271575094,-0.780843671351261,-0.796294731505818
"bivt",10000,1.31433978364471,-0.771609884427527,-0.786148578925076
"bivt",10000,1.34639685153848,-0.76204533740446,-0.776566717537561
"bivt",10000,1.37845391943226,-0.752790667655061,-0.769509038795736
"bivt",10000,1.41051098732603,-0.745365402566978,-0.762820323821027
"bivt",10000,1.4425680552198,-0.739605396870577,-0.756217414965414
"bivt",10000,1.47462512311358,-0.734837856660669,-0.750577963796637
"bivt",10000,1.50668219100735,-0.730346514020538,-0.746666845332138
"bivt",10000,1.53873925890112,-0.72650853106432,-0.742158135037303
"bivt",10000,1.5707963267949,-0.723714874283961,-0.739288657494931
"bivt",50000,0,-0.770294324981192,-0.769491882813626
"bivt",50000,0.0320570678937734,-0.772286163408925,-0.772439553142597
"bivt",50000,0.0641141357875468,-0.775130477772839,-0.776494394360594
"bivt",50000,0.0961712036813202,-0.780070862358333,-0.780493755983626
"bivt",50000,0.128228271575094,-0.785436675172329,-0.785960677348502
"bivt",50000,0.160285339468867,-0.792288434138923,-0.793084681545674
"bivt",50000,0.19234240736264,-0.800319038268249,-0.799529939885237
"bivt",50000,0.224399475256414,-0.809380692191811,-0.808037065764483
"bivt",50000,0.256456543150187,-0.818332379103291,-0.817747686090388
"bivt",50000,0.288513611043961,-0.829944210934965,-0.82925961374773
"bivt",50000,0.320570678937734,-0.841724326030501,-0.841022312819193
"bivt",50000,0.352627746831507,-0.854448695638183,-0.853068010217586
"bivt",50000,0.384684814725281,-0.868038633999369,-0.865421891874314
"bivt",50000,0.416741882619054,-0.880883049221451,-0.880376965339604
"bivt",50000,0.448798950512828,-0.897539105060273,-0.896016428873295
"bivt",50000,0.480856018406601,-0.913666357236705,-0.912296149838286
"bivt",50000,0.512913086300374,-0.930762259297991,-0.928520796030737
"bivt",50000,0.544970154194148,-0.947834323645232,-0.944258936553819
"bivt",50000,0.577027222087921,-0.965969004216268,-0.960901846538148
"bivt",50000,0.609084289981695,-0.981810692433209,-0.979584768172863
"bivt",50000,0.641141357875468,-0.996877279614473,-0.992347947271147
"bivt",50000,0.673198425769241,-1.01030438850196,-1.00352049550575
"bivt",50000,0.705255493663015,-1.0189249952521,-1.01462784418199
"bivt",50000,0.737312561556788,-1.02487888778746,-1.02260209585685
"bivt",50000,0.769369629450562,-1.02809343156849,-1.0246264566184
"bivt",50000,0.801426697344335,-1.0293104979537,-1.02496299010168
"bivt",50000,0.833483765238108,-1.02430573713216,-1.02291193369864
"bivt",50000,0.865540833131882,-1.01861416108792,-1.01561635250238
"bivt",50000,0.897597901025655,-1.00832841475869,-1.00496459791738
"bivt",50000,0.929654968919428,-0.994575184216448,-0.992265817863747
"bivt",50000,0.961712036813202,-0.980102580285168,-0.978209653327708
"bivt",50000,0.993769104706975,-0.963615652545512,-0.964910957388537
"bivt",50000,1.02582617260075,-0.946246436804559,-0.946551869081188
"bivt",50000,1.05788324049452,-0.927883469167424,-0.929054358476051
"bivt",50000,1.0899403083883,-0.911326152414244,-0.910115055213573
"bivt",50000,1.12199737628207,-0.893986392294915,-0.893739759765647
"bivt",50000,1.15405444417584,-0.878694246874842,-0.877778424911785
"bivt",50000,1.18611151206962,-0.864457466726083,-0.863139001215396
"bivt",50000,1.21816857996339,-0.850722611687681,-0.848889756690033
"bivt",50000,1.25022564785716,-0.83770961371256,-0.836251374852708
"bivt",50000,1.28228271575094,-0.825881730736652,-0.8238260509328
"bivt",50000,1.31433978364471,-0.815314432760927,-0.810426072556033
"bivt",50000,1.34639685153848,-0.804870884920433,-0.801256160553711
"bivt",50000,1.37845391943226,-0.796213788488851,-0.792406479519505
"bivt",50000,1.41051098732603,-0.788151126134123,-0.785018578602094
"bivt",50000,1.4425680552198,-0.781893451776922,-0.778272059142138
"bivt",50000,1.47462512311358,-0.776376333162146,-0.772857588532966
"bivt",50000,1.50668219100735,-0.771489625950668,-0.768624964712153
"bivt",50000,1.53873925890112,-0.767822121226839,-0.764787889321546
"bivt",50000,1.5707963267949,-0.76522888463675,-0.761790476473379
