"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est"
"bivt",0.005,1000,2,0,-0.576681537737896,-0.90314820011006,-0.551794790550779
"bivt",0.005,1000,2,0.0320570678937734,-0.57866112232144,-0.903612461553664,-0.552078439508948
"bivt",0.005,1000,2,0.0641141357875468,-0.582388259019866,-0.970864281731534,-0.593167160080704
"bivt",0.005,1000,2,0.0961712036813202,-0.587331333898525,-0.991509892510684,-0.605780970831017
"bivt",0.005,1000,2,0.128228271575094,-0.592274891598946,-1.06388879167271,-0.650002173396152
"bivt",0.005,1000,2,0.160285339468867,-0.598156613196884,-1.07101119208876,-0.654353733245706
"bivt",0.005,1000,2,0.19234240736264,-0.603756175650843,-1.07714622306014,-0.658102041806208
"bivt",0.005,1000,2,0.224399475256414,-0.610402108161023,-1.08447273429365,-0.662578306865551
"bivt",0.005,1000,2,0.256456543150187,-0.618155131857492,-1.09303044920684,-0.667806798166916
"bivt",0.005,1000,2,0.288513611043961,-0.627358068032659,-0.857630416064483,-0.523984873960452
"bivt",0.005,1000,2,0.320570678937734,-0.635131855093542,-0.883006462031454,-0.539488829975251
"bivt",0.005,1000,2,0.352627746831507,-0.64354109839526,-0.90970280992305,-0.555799448422499
"bivt",0.005,1000,2,0.384684814725281,-0.653495832530178,-0.775047590710046,-0.473529397424054
"bivt",0.005,1000,2,0.416741882619054,-0.664861518336403,-0.517045998820052,-0.315898640543447
"bivt",0.005,1000,2,0.448798950512828,-0.675306208300416,-0.560212442508536,-0.342271963051321
"bivt",0.005,1000,2,0.480856018406601,-0.687221313491534,-0.545631109423192,-0.33336323286197
"bivt",0.005,1000,2,0.512913086300374,-0.702583212673717,-0.5693975410468,-0.347883765769294
"bivt",0.005,1000,2,0.544970154194148,-0.716256049675327,-0.638613573506494,-0.390172557497161
"bivt",0.005,1000,2,0.577027222087921,-0.726997014802003,-0.713665503221447,-0.436026896610551
"bivt",0.005,1000,2,0.609084289981695,-0.736265120635194,-0.784244448801654,-0.47914838485465
"bivt",0.005,1000,2,0.641141357875468,-0.746582717309204,-0.866743979107904,-0.529552970769041
"bivt",0.005,1000,2,0.673198425769241,-0.755167448582029,-0.998707088385288,-0.610178228323969
"bivt",0.005,1000,2,0.705255493663015,-0.763751367351449,-1.19391838598981,-0.729446114880909
"bivt",0.005,1000,2,0.737312561556788,-0.76894687791438,-1.12110226237951,-0.684957782100786
"bivt",0.005,1000,2,0.769369629450562,-0.773519839188819,-0.919470753363535,-0.561767350815702
"bivt",0.005,1000,2,0.801426697344335,-0.776332963329605,-0.911661298817812,-0.55699602277137
"bivt",0.005,1000,2,0.833483765238108,-0.773992965437791,-0.833252454387222,-0.509090715663818
"bivt",0.005,1000,2,0.865540833131882,-0.770100355860326,-0.551329916016471,-0.336845022218517
"bivt",0.005,1000,2,0.897597901025655,-0.763548165112121,-0.314965997537526,-0.192434194765219
"bivt",0.005,1000,2,0.929654968919429,-0.754033441008183,-0.197841120704481,-0.120874624727323
"bivt",0.005,1000,2,0.961712036813202,-0.74475180639159,-0.340827633828837,-0.208234831005124
"bivt",0.005,1000,2,0.993769104706975,-0.732555195780997,-0.27922791440788,-0.170599364011189
"bivt",0.005,1000,2,1.02582617260075,-0.720910942622392,-0.519831566123212,-0.317600533462488
"bivt",0.005,1000,2,1.05788324049452,-0.708012008494333,-0.435213429261424,-0.265901546407254
"bivt",0.005,1000,2,1.0899403083883,-0.697394461423024,-0.33502206946105,-0.204687816047932
"bivt",0.005,1000,2,1.12199737628207,-0.683057295227394,-0.595781579824908,-0.364003573293326
"bivt",0.005,1000,2,1.15405444417584,-0.670836189934778,-0.449301357301999,-0.274508821826168
"bivt",0.005,1000,2,1.18611151206962,-0.6612714223311,-0.340948618531213,-0.208308748805657
"bivt",0.005,1000,2,1.21816857996339,-0.6496088146785,-0.290419493950231,-0.177437062728578
"bivt",0.005,1000,2,1.25022564785716,-0.640183293559325,-0.671573282751089,-0.410309890281547
"bivt",0.005,1000,2,1.28228271575094,-0.630380773145966,-0.920286657921561,-0.562265842519114
"bivt",0.005,1000,2,1.31433978364471,-0.622239738384413,-0.97972180158744,-0.598578822655123
"bivt",0.005,1000,2,1.34639685153848,-0.614278898861215,-0.959466523916291,-0.586203493004089
"bivt",0.005,1000,2,1.37845391943226,-0.60711192704808,-0.946747522767088,-0.5784325883239
"bivt",0.005,1000,2,1.41051098732603,-0.601317937306459,-0.941355195105436,-0.575138047835108
"bivt",0.005,1000,2,1.4425680552198,-0.596424843462687,-0.9369813038834,-0.572465739579983
"bivt",0.005,1000,2,1.47462512311358,-0.591601310895889,-0.933540164135385,-0.570363312773086
"bivt",0.005,1000,2,1.50668219100735,-0.587149290919809,-0.931005559183614,-0.568814749859136
"bivt",0.005,1000,2,1.53873925890112,-0.584532889969844,-0.928890171593805,-0.56752231540385
