"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt",5e-05,1e+05,"0.01",TRUE,2.14635942902784e-05,-2.62606706091668e-05,1.29671789723272e-05,-9.36404047865028e-06,0.537520236387806,0.126574527316198,0.25,FALSE,4.37529506712794,4.66723142784799,0.290111102689996,0.290111102689996
"bivt",5e-05,1e+05,"0.05",TRUE,1.50236098614336e-05,-2.29540964982879e-05,1.00760491533961e-05,-7.89421644015177e-06,0.442649555858663,0.0791391870516266,0.25,FALSE,3.45123511799088,3.68667929137268,0.229621141832134,0.229621141832134
"bivt",5e-05,1e+05,"0.1",TRUE,1.37196256847259e-05,-2.25020882186996e-05,8.87128341273544e-06,-7.19051790087403e-06,0.442649555858663,0.0791391870516266,0.25,FALSE,3.30730342516883,3.53292854036382,0.220044929687286,0.220044929687286
"bivt",5e-05,1e+05,"0.01",TRUE,1.7842993263173e-05,-2.3833264204121e-05,1.26809093908716e-05,-9.26292816140291e-06,0.442649555858663,0.0791391870516266,0.25,FALSE,3.74518977653746,4.00068761454282,0.249178836986104,0.249178836986104
"bivt",5e-05,1e+05,"0.05",TRUE,1.05535483315317e-05,-3.25808829865402e-05,1.05535483315317e-05,-8.44009417245357e-06,0.869567618239809,0,0.25,FALSE,5.35206141808056,5.80010144648629,0.348373527086433,0.348373527086433
"bivt",5e-05,1e+05,"0.1",TRUE,9.56502931033721e-06,-3.22821411776004e-05,9.56502931033721e-06,-7.72733235813797e-06,0.869567618239809,0,0.25,FALSE,5.20684566773885,5.64272917105534,0.338921220921907,0.338921220921907
"bivt",5e-05,1e+05,"0.01",TRUE,1.36561393799603e-05,-3.31460134841522e-05,1.36561393799603e-05,-9.7884271702099e-06,0.869567618239809,0,0.25,FALSE,5.69942640228762,6.1765455845434,0.370984023357221,0.370984023357221
"bivt",5e-05,1e+05,"0.05",TRUE,3.81159369337569e-05,-2.3266313246981e-05,1.12462231030421e-05,-8.38028379757624e-06,0.442649555858663,0.363751228639057,0.25,FALSE,4.69831483457986,5.00632596931645,0.301521197372891,0.301521197372891
"bivt",5e-05,1e+05,"0.1",TRUE,3.58030325282038e-05,-2.28080767224129e-05,9.63860631806695e-06,-7.66688896048159e-06,0.442649555858663,0.363751228639057,0.25,FALSE,4.53082412227074,4.82785493615346,0.290772236968495,0.290772236968495
"bivt",5e-05,1e+05,"0.01",TRUE,4.18282898714993e-05,-2.44916315196411e-05,1.38265463019333e-05,-1.02878919489284e-05,0.442649555858663,0.363751228639057,0.25,FALSE,5.05211644624551,5.38332203254986,0.324226931096124,0.324226931096124
"bivt",5e-05,1e+05,"0.05",TRUE,1.19340615095192e-05,-3.19699899650291e-05,1.19340615095192e-05,-8.97548266510936e-06,0.822132277975237,0,0.25,FALSE,5.2520609757254,5.6133290980793,0.342562179913738,0.342562179913738
"bivt",5e-05,1e+05,"0.1",TRUE,1.01383379071448e-05,-3.15892799231891e-05,1.01383379071448e-05,-8.10923546498354e-06,0.822132277975237,0,0.25,FALSE,5.0416833849954,5.38848048015833,0.328840441644027,0.328840441644027
"bivt",5e-05,1e+05,"0.01",TRUE,1.52748785947242e-05,-3.25779811193653e-05,1.52748785947242e-05,-1.03588731125993e-05,0.822132277975237,0,0.25,FALSE,5.61208935996062,5.99812238488666,0.366044791540768,0.366044791540768
"bivt",5e-05,1e+05,"0.05",TRUE,1.14174190078579e-05,-3.10400444579864e-05,1.14174190078579e-05,-8.85814020453834e-06,0.774696937710665,0,0.25,FALSE,5.03436086800152,5.43713481641129,0.324451815786639,0.324451815786639
"bivt",5e-05,1e+05,"0.1",TRUE,1.02440579228808e-05,-3.06991052200679e-05,1.02440579228808e-05,-8.11832442310713e-06,0.774696937710665,0,0.25,FALSE,4.87520766059112,5.26524855957684,0.314194794391772,0.314194794391772
"bivt",5e-05,1e+05,"0.01",TRUE,1.44570073439426e-05,-3.18534624297409e-05,1.44570073439426e-05,-1.06232038448445e-05,0.774696937710665,0,0.25,FALSE,5.42923364893894,5.86359938690607,0.349900367080246,0.349900367080246
"bivt",5e-05,1e+05,"0.05",TRUE,1.0999503497929e-05,-3.86013906618056e-05,1.0999503497929e-05,-8.32184874802563e-06,1.29648568062095,0,0.25,FALSE,7.66275035726427,8.16417677654099,0.4956985910589,0.495698591058901
"bivt",5e-05,1e+05,"0.1",TRUE,9.92008739834083e-06,-3.84557516564022e-05,9.92008739834083e-06,-7.78933076137519e-06,1.29648568062095,0,0.25,FALSE,7.52605639845596,8.01853799255813,0.48685594323294,0.48685594323294
"bivt",5e-05,1e+05,"0.01",TRUE,1.33596217317617e-05,-3.90601354175625e-05,1.33596217317617e-05,-9.99921418351067e-06,1.29648568062095,0,0.25,FALSE,8.0326089429568,8.55823775140397,0.519624514685659,0.519624514685659
"bivt",5e-05,1e+05,"0.05",TRUE,2.12960173567047e-05,-2.02341010538945e-05,9.90923103814786e-06,-7.85389454417018e-06,0.347778875329519,0.17400986758077,0.25,FALSE,3.35994005754731,3.69406471794153,0.223330751980566,0.223330751980566
"bivt",5e-05,1e+05,"0.1",TRUE,1.99257368199679e-05,-1.96906067339652e-05,8.75779991610184e-06,-7.08435054471437e-06,0.347778875329519,0.17400986758077,0.25,FALSE,3.21567899375042,3.53545780924154,0.213741910719274,0.213741910719275
"bivt",5e-05,1e+05,"0.01",TRUE,2.34113004374504e-05,-2.12144818635502e-05,1.16866793093669e-05,-9.24203447790562e-06,0.347778875329519,0.17400986758077,0.25,FALSE,3.60421248318256,3.96262848207125,0.239567215599223,0.239567215599224
"bivt",5e-05,1e+05,"0.05",TRUE,1.06145494771502e-05,-2.92155790483585e-05,1.06145494771502e-05,-8.9812216435569e-06,0.679826257181522,0,0.25,FALSE,4.42549409195388,4.80629470796219,0.292385777517722,0.292385777517722
"bivt",5e-05,1e+05,"0.1",TRUE,9.42779393045408e-06,-2.87241182466056e-05,9.42779393045408e-06,-8.01130664111909e-06,0.679826257181522,0,0.25,FALSE,4.24420093845976,4.60940181733269,0.280408009941579,0.280408009941579
"bivt",5e-05,1e+05,"0.01",TRUE,1.34231164583636e-05,-3.00632237850984e-05,1.34231164583636e-05,-1.06540780422142e-05,0.679826257181522,0,0.25,FALSE,4.78515097659079,5.19689899878147,0.31614777011542,0.31614777011542
"bivt",5e-05,1e+05,"0.05",TRUE,3.37255182107105e-05,-2.33513581488236e-05,1.10216012124295e-05,-8.51268396788765e-06,0.442649555858663,0.316315888374485,0.25,FALSE,4.38609169740711,4.72941663321098,0.291292209931865,0.291292209931865
"bivt",5e-05,1e+05,"0.1",TRUE,3.19261757443191e-05,-2.29313385207148e-05,9.71018790887248e-06,-7.85878621398501e-06,0.442649555858663,0.316315888374485,0.25,FALSE,4.24524036289549,4.57754004462004,0.281937891934821,0.281937891934821
"bivt",5e-05,1e+05,"0.01",TRUE,3.65313448686871e-05,-2.44096290228939e-05,1.30665695691896e-05,-1.01602282759739e-05,0.442649555858663,0.316315888374485,0.25,FALSE,4.6741571336697,5.04003062847215,0.310423414503699,0.310423414503699
"bivt",5e-05,1e+05,"0.05",TRUE,2.44305495114564e-05,-1.89436268767312e-05,9.64565244203166e-06,-8.06387715379389e-06,0.300343535064948,0.221445207845342,0.25,FALSE,3.28377429456484,3.56551584843439,0.221106200531122,0.221106200531122
"bivt",5e-05,1e+05,"0.1",TRUE,2.32042677342574e-05,-1.83773598498477e-05,8.6629594865329e-06,-7.29923398348917e-06,0.300343535064948,0.221445207845342,0.25,FALSE,3.15241540117234,3.42288661322813,0.212261419124537,0.212261419124537
"bivt",5e-05,1e+05,"0.01",TRUE,2.74209682485573e-05,-2.00362437003037e-05,1.20420538903618e-05,-9.53926235590031e-06,0.300343535064948,0.221445207845342,0.25,FALSE,3.56599756548349,3.8719533362127,0.240109125073644,0.240109125073644
"bivt",5e-05,1e+05,"0.05",TRUE,2.4407571677763e-05,-2.29854331481124e-05,9.62723892914828e-06,-7.94300217196946e-06,0.442649555858663,0.221445207845342,0.25,FALSE,3.98643175222677,4.34235011478254,0.260992618380308,0.260992618380308
"bivt",5e-05,1e+05,"0.1",TRUE,2.29840164347912e-05,-2.26270067578713e-05,8.48645894281675e-06,-7.38499441272889e-06,0.442649555858663,0.221445207845342,0.25,FALSE,3.86087666676266,4.20558516465589,0.252772497594862,0.252772497594862
"bivt",5e-05,1e+05,"0.01",TRUE,2.71619074848748e-05,-2.38843760187832e-05,1.18344530010307e-05,-9.34250039700532e-06,0.442649555858663,0.221445207845342,0.25,FALSE,4.26289834822441,4.64350032366127,0.279092951025865,0.279092951025865
"bivt",5e-05,1e+05,"0.05",TRUE,1.07375274107576e-05,-3.64022590490043e-05,1.07375274107576e-05,-8.87369290839201e-06,1.10674431956267,0,0.25,FALSE,6.54616479612213,7.06429304696653,0.432235107786566,0.432235107786566
"bivt",5e-05,1e+05,"0.1",TRUE,9.44262167550127e-06,-3.61130175559291e-05,9.44262167550127e-06,-7.99888329768418e-06,1.10674431956267,0,0.25,FALSE,6.35816757154909,6.86141586196394,0.419821885211564,0.419821885211565
"bivt",5e-05,1e+05,"0.01",TRUE,1.39217061050715e-05,-3.69741299969989e-05,1.39217061050715e-05,-1.06033140497824e-05,1.10674431956267,0,0.25,FALSE,6.9557626053034,7.50631047939752,0.459280340944382,0.459280340944382
"bivt",5e-05,1e+05,"0.05",TRUE,1.12218223317951e-05,-3.343803720023e-05,1.12218223317951e-05,-8.56559281902757e-06,0.917002958504381,0,0.25,FALSE,5.52370123206816,5.87996720385758,0.367509457732773,0.367509457732773
"bivt",5e-05,1e+05,"0.1",TRUE,9.85553095037791e-06,-3.3071971768681e-05,9.85553095037791e-06,-7.64977720411205e-06,0.917002958504381,0,0.25,FALSE,5.3348658142521,5.67895233773141,0.354945635200261,0.354945635200261
"bivt",5e-05,1e+05,"0.01",TRUE,1.41903421458872e-05,-3.4066484436023e-05,1.41903421458872e-05,-1.01378302992353e-05,0.917002958504381,0,0.25,FALSE,5.88436719697622,6.26389529049905,0.391505714520977,0.391505714520977
"bivt",5e-05,1e+05,"0.05",TRUE,4.9395861707653e-05,-3.49058407424038e-05,9.92257010986298e-06,-8.47973987488823e-06,1.01187363903352,0.506057249432772,0.25,FALSE,7.71855705019734,8.46804146576703,0.506916691431811,0.506916691431811
"bivt",5e-05,1e+05,"0.1",TRUE,4.72187472075639e-05,-3.45739500616187e-05,8.61005775746244e-06,-7.56679155069701e-06,1.01187363903352,0.506057249432772,0.25,FALSE,7.53596890637519,8.26772371686811,0.494925204271832,0.494925204271832
"bivt",5e-05,1e+05,"0.01",TRUE,5.29833723134895e-05,-3.54705332548437e-05,1.20853649395954e-05,-1.00330678613681e-05,1.01187363903352,0.506057249432772,0.25,FALSE,8.02847075566052,8.80804829497154,0.527270292393891,0.527270292393891
"bivt",5e-05,1e+05,"0.05",TRUE,1.45817587313925e-05,-3.15566359200168e-05,9.66781789303706e-06,-8.03495905185764e-06,0.822132277975237,0.0791391870516266,0.25,FALSE,5.29328031209065,5.6902637857224,0.345138543885411,0.345138543885411
"bivt",5e-05,1e+05,"0.1",TRUE,1.36253147797189e-05,-3.12335281062184e-05,8.78414850009411e-06,-7.29977687045558e-06,0.822132277975237,0.0791391870516266,0.25,FALSE,5.15425810241891,5.54081523993138,0.336073858060208,0.336073858060208
