"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00342645118335417,-0.00218250018482619,0.310738677488263
"bivt",0.005,1000,"0.01",TRUE,0.00510329492736895,-0.00287117685004746,0.310738677488263
"bivt",0.005,1000,"0.05",FALSE,0.00775102501114605,-0.00332778082123804,0.231625434220904
"bivt",0.005,1000,"0.1",FALSE,0.00664138088359874,-0.00300271649795188,0.231625434220904
"bivt",0.005,1000,"0.01",FALSE,0.0106323702084128,-0.0035199377868039,0.231625434220904
"bivt",0.005,1000,"0.05",FALSE,0.00307726730547191,-0.0020385799491917,0.411355476730844
"bivt",0.005,1000,"0.1",FALSE,0.00257291842212506,-0.00173678190844866,0.411355476730844
"bivt",0.005,1000,"0.01",TRUE,0.00449448401410033,-0.00228843021070109,0.411355476730844
"bivt",0.005,1000,"0.05",TRUE,0.00468203031725173,-0.00261189015953004,0.2965562995652
"bivt",0.005,1000,"0.1",TRUE,0.00388661438333883,-0.00234919092694133,0.2965562995652
"bivt",0.005,1000,"0.01",TRUE,0.00557350894667713,-0.00300399362419415,0.2965562995652
"bivt",0.005,1000,"0.05",TRUE,0.00448932046385722,-0.00257460187514998,0.310039529765705
"bivt",0.005,1000,"0.1",TRUE,0.00345106751891305,-0.00240217719069064,0.310039529765705
"bivt",0.005,1000,"0.01",TRUE,0.00946588458855315,-0.0033167654672371,0.310039529765705
"bivt",0.005,1000,"0.05",TRUE,0.0041096509940917,-0.00246972036891126,0.327799954900639
"bivt",0.005,1000,"0.1",TRUE,0.00390201809465818,-0.00227448917085028,0.327799954900639
"bivt",0.005,1000,"0.01",TRUE,0.00548557272507101,-0.00272107454441148,0.327799954900639
"bivt",0.005,1000,"0.05",FALSE,0.00395759099640399,-0.00215962289444402,0.333529121420486
"bivt",0.005,1000,"0.1",FALSE,0.0035794835987107,-0.0020270948593314,0.333529121420486
"bivt",0.005,1000,"0.01",TRUE,0.00604638887604647,-0.00251882880279769,0.333529121420486
