"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00662808976208295,-0.00352043932236846,0.235239271996329
"bivt",0.005,1000,"0.1",TRUE,0.00565829145973185,-0.00315257094924687,0.235239271996329
"bivt",0.005,1000,"0.01",TRUE,0.00847158822254244,-0.00405628637950055,0.235239271996329
"bivt",0.005,1000,"0.05",TRUE,0.00746875924628094,-0.00340685656337718,0.258994201072068
"bivt",0.005,1000,"0.1",FALSE,0.00607800694400557,-0.00311220416881726,0.258994201072068
"bivt",0.005,1000,"0.01",TRUE,0.0107851929378434,-0.00403769566274578,0.258994201072068
"bivt",0.005,1000,"0.05",TRUE,0.00509487631921451,-0.00320139009201352,0.413308772119082
"bivt",0.005,1000,"0.1",TRUE,0.00436274462975667,-0.00277587439039512,0.413308772119082
"bivt",0.005,1000,"0.01",TRUE,0.00638609849526903,-0.00391696308339783,0.413308772119082
"bivt",0.005,1000,"0.05",TRUE,0.00692307504480708,-0.0035279215190765,0.249723304185759
"bivt",0.005,1000,"0.1",TRUE,0.00601208238938802,-0.0031884378235615,0.249723304185759
"bivt",0.005,1000,"0.01",TRUE,0.00917083589050632,-0.00407233411891933,0.249723304185759
"bivt",0.005,1000,"0.05",TRUE,0.00951472648051291,-0.00396027653116752,0.245878083776711
"bivt",0.005,1000,"0.1",TRUE,0.0080534202256516,-0.00364809185127637,0.245878083776711
"bivt",0.005,1000,"0.01",TRUE,0.0121716152690951,-0.00451776553633251,0.245878083776711
"bivt",0.005,1000,"0.05",TRUE,0.0130334805080017,-0.00408932653418348,0.254408440772065
"bivt",0.005,1000,"0.1",TRUE,0.00983186906159848,-0.00373069602266935,0.254408440772065
"bivt",0.005,1000,"0.01",TRUE,0.0178096851355523,-0.0045742115390515,0.254408440772065
"bivt",0.005,1000,"0.05",TRUE,0.00732672097720352,-0.00375918851904216,0.251549497926411
"bivt",0.005,1000,"0.1",TRUE,0.00636924418332518,-0.00337514589518489,0.251549497926411
"bivt",0.005,1000,"0.01",TRUE,0.009073399055879,-0.00442330461715039,0.251549497926411
"bivt",0.005,1000,"0.05",TRUE,0.008761314569986,-0.00380810472342071,0.268181311299632
"bivt",0.005,1000,"0.1",TRUE,0.00768681213418107,-0.00347437759554246,0.268181311299632
"bivt",0.005,1000,"0.01",TRUE,0.0116563285857812,-0.0043185467031115,0.268181311299632
"bivt",0.005,1000,"0.05",TRUE,0.0067682363945751,-0.00356459973961505,0.241237746088619
"bivt",0.005,1000,"0.1",TRUE,0.00591205772192614,-0.00318726797942115,0.241237746088619
"bivt",0.005,1000,"0.01",TRUE,0.00841315084225544,-0.0041467157732929,0.241237746088619
"bivt",0.005,1000,"0.05",TRUE,0.00715117162888443,-0.00355902900684037,0.332974815633332
"bivt",0.005,1000,"0.1",TRUE,0.00607457060758286,-0.00324571484646188,0.332974815633332
"bivt",0.005,1000,"0.01",TRUE,0.00897905640440734,-0.0041519596528546,0.332974815633332
"bivt",0.005,1000,"0.05",TRUE,0.00632899164050645,-0.00358287179976484,0.346576182930096
"bivt",0.005,1000,"0.1",TRUE,0.00563484795998156,-0.00317267742344577,0.346576182930096
"bivt",0.005,1000,"0.01",TRUE,0.00831910887534407,-0.00421444281524938,0.346576182930096
"bivt",0.005,1000,"0.05",TRUE,0.0102529140689347,-0.00379673632584997,0.241305201015445
"bivt",0.005,1000,"0.1",TRUE,0.00850520863495681,-0.00343265171272729,0.241305201015445
"bivt",0.005,1000,"0.01",TRUE,0.0145563683919318,-0.00422538942416426,0.241305201015445
"bivt",0.005,1000,"0.05",TRUE,0.00687324872632291,-0.00319000762403604,0.34697215087317
"bivt",0.005,1000,"0.1",TRUE,0.00582644941749876,-0.00287737753424945,0.34697215087317
"bivt",0.005,1000,"0.01",TRUE,0.0086075080113263,-0.00382070891215541,0.34697215087317
"bivt",0.005,1000,"0.05",TRUE,0.00763170682198917,-0.00351833291946045,0.234085499578123
"bivt",0.005,1000,"0.1",FALSE,0.00651839133502,-0.00321875946442986,0.234085499578123
"bivt",0.005,1000,"0.01",TRUE,0.0103832206197211,-0.00406873067540215,0.234085499578123
"bivt",0.005,1000,"0.05",TRUE,0.00714846711016,-0.00353437445709754,0.293564502952847
"bivt",0.005,1000,"0.1",TRUE,0.00623528532327895,-0.00322295721523761,0.293564502952847
"bivt",0.005,1000,"0.01",TRUE,0.00879053019862495,-0.00414160811012362,0.293564502952847
"bivt",0.005,1000,"0.05",TRUE,0.00650679488662659,-0.00339105430629557,0.349439188369844
"bivt",0.005,1000,"0.1",TRUE,0.00572579938323598,-0.00306602639517171,0.349439188369844
"bivt",0.005,1000,"0.01",TRUE,0.00786886990407013,-0.0039538675400835,0.349439188369844
"bivt",0.005,1000,"0.05",TRUE,0.00776213151831223,-0.00357033501615582,0.253151580398258
"bivt",0.005,1000,"0.1",FALSE,0.00679087115217839,-0.00327808360678007,0.253151580398258
"bivt",0.005,1000,"0.01",TRUE,0.00975497089051141,-0.00416816134751963,0.253151580398258
"bivt",0.005,1000,"0.05",TRUE,0.00850886087592544,-0.00394504610329259,0.21122630245062
"bivt",0.005,1000,"0.1",TRUE,0.00746307860122181,-0.00356704117126948,0.21122630245062
"bivt",0.005,1000,"0.01",TRUE,0.0105519139757006,-0.00439925175459527,0.21122630245062
"bivt",0.005,1000,"0.05",TRUE,0.00770290531984727,-0.00392713677453445,0.337588406107044
"bivt",0.005,1000,"0.1",TRUE,0.00675387357767658,-0.00354467236641773,0.337588406107044
"bivt",0.005,1000,"0.01",TRUE,0.00970505017836483,-0.0045059946925569,0.337588406107044
"bivt",0.005,1000,"0.05",TRUE,0.00796926319017617,-0.00387819988673058,0.212105634914456
"bivt",0.005,1000,"0.1",TRUE,0.00687910852189927,-0.00352249254631914,0.212105634914456
"bivt",0.005,1000,"0.01",TRUE,0.0104381212889893,-0.00430059866607062,0.212105634914456
"bivt",0.005,1000,"0.05",TRUE,0.00736098982267612,-0.00372835308672145,0.294443684156293
"bivt",0.005,1000,"0.1",TRUE,0.00642707571238744,-0.00342895933904005,0.294443684156293
"bivt",0.005,1000,"0.01",TRUE,0.00945102794083924,-0.00426480686598806,0.294443684156293
"bivt",0.005,1000,"0.05",TRUE,0.00827557858741548,-0.00367974726410485,0.29283702021651
"bivt",0.005,1000,"0.1",TRUE,0.00698730990699287,-0.00335099770378588,0.29283702021651
"bivt",0.005,1000,"0.01",TRUE,0.0115027640955609,-0.00422915881719357,0.29283702021651
"bivt",0.005,1000,"0.05",TRUE,0.00807023049936343,-0.00388218296530207,0.301300483026255
"bivt",0.005,1000,"0.1",TRUE,0.0069124785375009,-0.0035578179303599,0.301300483026255
"bivt",0.005,1000,"0.01",TRUE,0.0110419220908359,-0.00432246590752097,0.301300483026255
"bivt",0.005,1000,"0.05",TRUE,0.00837886676386566,-0.00376928176526126,0.314296855565558
"bivt",0.005,1000,"0.1",TRUE,0.00713346636431837,-0.00337840635265619,0.314296855565558
"bivt",0.005,1000,"0.01",TRUE,0.0111664134560234,-0.00419699772779736,0.314296855565558
"bivt",0.005,1000,"0.05",TRUE,0.00824503540574832,-0.00389088015397984,0.252215485934673
"bivt",0.005,1000,"0.1",TRUE,0.00715673143938034,-0.00356880614183562,0.252215485934673
"bivt",0.005,1000,"0.01",TRUE,0.0106485545750444,-0.00440972650387388,0.252215485934673
"bivt",0.005,1000,"0.05",TRUE,0.00846033687276822,-0.00373893370716554,0.217302071451311
"bivt",0.005,1000,"0.1",TRUE,0.00717660081270607,-0.0034082799111935,0.217302071451311
"bivt",0.005,1000,"0.01",TRUE,0.0111568468182372,-0.00423352004324941,0.217302071451311
"bivt",0.005,1000,"0.05",TRUE,0.00669734624095237,-0.00359814193092469,0.317232155588661
"bivt",0.005,1000,"0.1",TRUE,0.00576200563456169,-0.00323989337167982,0.317232155588661
"bivt",0.005,1000,"0.01",TRUE,0.00904982481534299,-0.0041273524624047,0.317232155588661
"bivt",0.005,1000,"0.05",TRUE,0.00732968030517264,-0.00383498510857316,0.366932778364716
"bivt",0.005,1000,"0.1",TRUE,0.00647283088845462,-0.00337982371828216,0.366932778364716
"bivt",0.005,1000,"0.01",TRUE,0.00916457273292631,-0.00438731424130176,0.366932778364716
"bivt",0.005,1000,"0.05",TRUE,0.00509170667499509,-0.00320119961495355,0.35070084127014
"bivt",0.005,1000,"0.1",TRUE,0.00445219836206233,-0.00285495412516295,0.35070084127014
"bivt",0.005,1000,"0.01",TRUE,0.00634003023353651,-0.00378543441887254,0.35070084127014
"bivt",0.005,1000,"0.05",TRUE,0.00817945324408894,-0.00379045641938639,0.26953939973391
"bivt",0.005,1000,"0.1",TRUE,0.00704826777790786,-0.00339121655120813,0.26953939973391
"bivt",0.005,1000,"0.01",TRUE,0.0102588912779063,-0.00431118456477973,0.26953939973391
"bivt",0.005,1000,"0.05",TRUE,0.00780745561789247,-0.00398189317692097,0.282792048200527
"bivt",0.005,1000,"0.1",TRUE,0.00680421724016488,-0.00367791093029486,0.282792048200527
"bivt",0.005,1000,"0.01",TRUE,0.00992702668892441,-0.00440480591995381,0.282792048200527
"bivt",0.005,1000,"0.05",TRUE,0.00716850578880764,-0.00350409337026116,0.322738602918596
"bivt",0.005,1000,"0.1",TRUE,0.00627689320390473,-0.00317806748286614,0.322738602918596
"bivt",0.005,1000,"0.01",TRUE,0.0086810326806911,-0.00401380360338199,0.322738602918596
"bivt",0.005,1000,"0.05",TRUE,0.00596313201045636,-0.00353489790645002,0.336903102635265
"bivt",0.005,1000,"0.1",TRUE,0.00517243794221629,-0.00314649914025588,0.336903102635265
