"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00686049795812703,-0.00450985039583767,0.00686049795812703,-0.00284012714247678,1.48309397756534,0,0.239560459903526
"bivt",0.005,1000,"0.1",TRUE,0.0057646224621844,-0.00447902363382009,0.0057646224621844,-0.00270428721523478,1.48309397756534,0,0.239560459903526
"bivt",0.005,1000,"0.01",TRUE,0.0108499625670269,-0.00457804028753729,0.0108499625670269,-0.00314060988282532,1.48309397756534,0,0.239560459903526
"bivt",0.005,1000,"0.05",TRUE,0.00544926375600131,-0.00385464874247683,0.00544926375600131,-0.00234641250896611,0.840201129589159,0,0.343954051040084
"bivt",0.005,1000,"0.1",TRUE,0.00371642650565706,-0.00376569519823204,0.00371642650565706,-0.00214032200988065,0.840201129589159,0,0.343954051040084
"bivt",0.005,1000,"0.01",TRUE,0.00707304170016845,-0.00399170295990692,0.00707304170016845,-0.00266394423085235,0.840201129589159,0,0.343954051040084
"bivt",0.005,1000,"0.05",TRUE,0.00882882158051732,-0.0031359120809129,0.00385666575528917,-0.00233340233873757,0.358031493607021,0.445584566363209,0.356031082348274
"bivt",0.005,1000,"0.1",TRUE,0.00805471166389726,-0.00303330611991896,0.00336088722857669,-0.00218662341655454,0.358031493607021,0.445584566363209,0.356031082348274
"bivt",0.005,1000,"0.01",TRUE,0.0114982875155972,-0.00332471065176888,0.00556632462929198,-0.00260348070915093,0.358031493607021,0.445584566363209,0.356031082348274
"bivt",0.005,1000,"0.05",TRUE,0.00655618361201965,-0.00371299081435846,0.0052070895114126,-0.0024609271786287,0.679477917595113,0.124138142375117,0.310657716511613
"bivt",0.005,1000,"0.1",TRUE,0.00626870055391496,-0.00361316682515864,0.00495316785305151,-0.00226398967365527,0.679477917595113,0.124138142375117,0.310657716511613
"bivt",0.005,1000,"0.01",TRUE,0.00823068354736303,-0.00384284264024342,0.00668610466907478,-0.00271710502536691,0.679477917595113,0.124138142375117,0.310657716511613
"bivt",0.005,1000,"0.05",TRUE,0.0106854396920123,-0.00383680190544147,0.00504573641854029,-0.00230506436951938,0.840201129589159,0.445584566363209,0.288759497308881
"bivt",0.005,1000,"0.1",TRUE,0.00951121955263861,-0.003754518279061,0.00429370738721536,-0.0021144269556728,0.840201129589159,0.445584566363209,0.288759497308881
"bivt",0.005,1000,"0.01",TRUE,0.0145468599442046,-0.00399006169213674,0.00751878217412031,-0.00266014168766242,0.840201129589159,0.445584566363209,0.288759497308881
"bivt",0.005,1000,"0.05",TRUE,0.0114848156838727,-0.00342299263357243,0.00555769659761187,-0.00274407413295785,0.358031493607021,0.445584566363209,0.253525987151201
"bivt",0.005,1000,"0.1",TRUE,0.00960050793307398,-0.0032827474127906,0.00435089211092756,-0.00254345184797291,0.358031493607021,0.445584566363209,0.253525987151201
"bivt",0.005,1000,"0.01",TRUE,0.0129773228462074,-0.00368378824198691,0.00651357248314624,-0.00311714503393023,0.358031493607021,0.445584566363209,0.253525987151201
"bivt",0.005,1000,"0.05",TRUE,0.0104148652125936,-0.00448674758041357,0.0104148652125936,-0.00234397755910529,1.64381718955939,0,0.289890718308857
"bivt",0.005,1000,"0.1",TRUE,0.00547314845717111,-0.0044414719835932,0.00547314845717111,-0.00210968153517868,1.64381718955939,0,0.289890718308857
"bivt",0.005,1000,"0.01",TRUE,0.0111626637124199,-0.00454684219540952,0.0111626637124199,-0.00265496030349211,1.64381718955939,0,0.289890718308857
"bivt",0.005,1000,"0.05",TRUE,0.00447502047392292,-0.00376599318609422,0.00447502047392292,-0.0021410123979676,0.840201129589159,0,0.3088829849826
"bivt",0.005,1000,"0.1",TRUE,0.00375856809127386,-0.00367938026433685,0.00375856809127386,-0.00194034473009924,0.840201129589159,0,0.3088829849826
"bivt",0.005,1000,"0.01",TRUE,0.0060522247020078,-0.00395128302966586,0.0060522247020078,-0.00257029800610548,0.840201129589159,0,0.3088829849826
"bivt",0.005,1000,"0.05",TRUE,0.011055325977676,-0.00473847832587925,0.00918099217622297,-0.00341068630216487,1.80454040155344,0.124138142375117,0.212089986711895
"bivt",0.005,1000,"0.1",TRUE,0.00819967015503884,-0.00468686399400956,0.00665871184786897,-0.00309701683319678,1.80454040155344,0.124138142375117,0.212089986711895
"bivt",0.005,1000,"0.01",TRUE,0.0179795729445305,-0.00485128764155819,0.01529688743738,-0.00409624856485204,1.80454040155344,0.124138142375117,0.212089986711895
"bivt",0.005,1000,"0.05",TRUE,0.00984394526431381,-0.00193347017085052,0.00309530510880963,-0.0018192034810636,0.036585069618929,0.606307778357255,0.455712031853657
"bivt",0.005,1000,"0.1",TRUE,0.0091396235029902,-0.00177694187823437,0.0027111956654532,-0.00165684254671501,0.036585069618929,0.606307778357255,0.455712031853657
"bivt",0.005,1000,"0.01",TRUE,0.0109842427659962,-0.00217994767540887,0.00371717860851358,-0.00207486536344377,0.036585069618929,0.606307778357255,0.455712031853657
"bivt",0.005,1000,"0.05",TRUE,0.00639000221184807,-0.00441212944821203,0.00639000221184807,-0.0027941294014894,1.3223707655713,0,0.230168547000388
