"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivgauss",5e-05,1e+05,"0.01",TRUE,5.95155739081914e-05,-3.58618149068327e-05,0.213633366093415,-0.0821243331869804,0.00742451235575325,0.814525702434898,-0.0468601489480902,-0.150748808874373,0,0,FALSE,0.667081036557895,0.850101087786537,0.13968676154696,0.206466890373357
"bivgauss",5e-05,1e+05,"0.05",TRUE,5.00481521414556e-05,-3.51220217951963e-05,0.19460274654106,0.0745861465128035,0.0745861465128035,0.812103205531519,-0.134087649975352,-0.0903790742265411,0,0,FALSE,0.562044821248389,0.730334362478888,0.11846902548682,0.177807408852608
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.39374906878247e-05,-3.15049805964304e-05,0.19460274654106,0.0745861465128035,0.0745861465128035,0.812103205531519,-0.134087649975352,-0.0903790742265411,0,0,FALSE,0.482461742641981,0.624614570177054,0.101682655818089,0.152487891693231
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.1081986516815e-05,-4.15990593738095e-05,0.19460274654106,0.0745861465128035,0.0745861465128035,0.812103205531519,-0.134087649975352,-0.0903790742265411,0,0,FALSE,0.746401169465524,0.972562852887853,0.157382265375746,0.238080802416312
"bivgauss",5e-05,1e+05,"0.05",TRUE,5.22275279896649e-05,-3.42053562036318e-05,0.197738993612678,0.0298117237414366,0.0745861465128035,0.799222810756229,-0.10879588412628,-0.00142548253651179,0,0,FALSE,0.607347860250614,0.816809522264014,0.128821963741014,0.200201906945029
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.59233327390076e-05,-3.07545004235429e-05,0.197738993612678,0.0298117237414366,0.0745861465128035,0.799222810756229,-0.10879588412628,-0.00142548253651179,0,0,FALSE,0.523345301931948,0.702097200811314,0.111148595961939,0.172080049583481
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.67766580757996e-05,-4.15312498734787e-05,0.197738993612678,0.0298117237414366,0.0745861465128035,0.799222810756229,-0.10879588412628,-0.00142548253651179,0,0,FALSE,0.843851445759549,1.14029204546429,0.179161106698959,0.27948822308466
"bivgauss",5e-05,1e+05,"0.05",TRUE,4.85753224787962e-05,-3.35537172061023e-05,0.366170008047152,0.141747780669854,-0.0373499104156136,0.820229752476812,-0.106751634442849,-0.14842314793636,0,0,FALSE,0.542682013236301,0.674617140902916,0.114671342431305,0.166348649717461
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.25950628358634e-05,-2.96624303219947e-05,0.366170008047152,0.141747780669854,-0.0373499104156136,0.820229752476812,-0.106751634442849,-0.14842314793636,0,0,FALSE,0.462770764442943,0.575399476618941,0.0977858562036154,0.141349740141576
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.31378887894856e-05,-4.10405423653204e-05,0.366170008047152,0.141747780669854,-0.0373499104156136,0.820229752476812,-0.106751634442849,-0.14842314793636,0,0,FALSE,0.754040996735161,0.940429686475881,0.158689412636459,0.231548297896467
"bivgauss",5e-05,1e+05,"0.05",TRUE,5.18895541212565e-05,-3.29490083257766e-05,0.157193217776634,-0.059737121801297,0.0521989351271199,0.805216211656511,-0.0693210146901533,-0.149931798177982,0,0,FALSE,0.557973988493716,0.729474920401533,0.118159292841423,0.177205363094311
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.42473267248303e-05,-2.9464916216854e-05,0.157193217776634,-0.059737121801297,0.0521989351271199,0.805216211656511,-0.0693210146901533,-0.149931798177982,0,0,FALSE,0.477671570616737,0.624194376527215,0.101041059427846,0.15163042352854
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.48822957435342e-05,-3.94008742745554e-05,0.157193217776634,-0.059737121801297,0.0521989351271199,0.805216211656511,-0.0693210146901533,-0.149931798177982,0,0,FALSE,0.733210475635753,0.960326993241603,0.155427453624395,0.233284364914116
"bivgauss",5e-05,1e+05,"0.05",TRUE,5.17229366911151e-05,-3.39457741325137e-05,0.26259539316434,-0.0149626990299302,-0.104511544572664,0.843294336495672,-0.173438561230159,-0.0765116618575823,0,0,FALSE,0.560636769821783,0.722687881525838,0.119687608858003,0.178061052193564
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.50861086744003e-05,-3.02232827197118e-05,0.26259539316434,-0.0149626990299302,-0.104511544572664,0.843294336495672,-0.173438561230159,-0.0765116618575823,0,0,FALSE,0.480074485481404,0.616685973709489,0.102472844873438,0.152447902923468
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.74664448646916e-05,-4.34315820501899e-05,0.26259539316434,-0.0149626990299302,-0.104511544572664,0.843294336495672,-0.173438561230159,-0.0765116618575823,0,0,FALSE,0.844742592035643,1.10286094884807,0.180561800444142,0.273099112747666
"bivgauss",5e-05,1e+05,"0.05",TRUE,5.48225726381796e-05,-3.51231593428641e-05,0.278956129421789,-0.104511544572664,0.00742451235575325,0.793835246797932,-0.0501129696391209,-0.143666678788644,0,0,FALSE,0.592851560890923,0.790101142586148,0.126386998692427,0.193434247289848
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.79570723107221e-05,-3.12882650816047e-05,0.278956129421789,-0.104511544572664,0.00742451235575325,0.793835246797932,-0.0501129696391209,-0.143666678788644,0,0,FALSE,0.50555056926362,0.672518833594824,0.107450171802717,0.164647495558428
"bivgauss",5e-05,1e+05,"0.01",TRUE,6.94689779559956e-05,-4.2202741536375e-05,0.278956129421789,-0.104511544572664,0.00742451235575325,0.793835246797932,-0.0501129696391209,-0.143666678788644,0,0,FALSE,0.812615354280161,1.08690730461688,0.17365154942072,0.266098965069502
"bivgauss",5e-05,1e+05,"0.05",TRUE,4.95028838426861e-05,-3.40837139363492e-05,0.441770255305047,0.00742451235575325,0.164134992055537,0.787239229335109,-0.103641396371742,-0.150175205828107,0,0,FALSE,0.541244896503715,0.689224029028226,0.115082730390905,0.169415828426803
"bivgauss",5e-05,1e+05,"0.1",TRUE,4.3153671052852e-05,-3.01497062330081e-05,0.441770255305047,0.00742451235575325,0.164134992055537,0.787239229335109,-0.103641396371742,-0.150175205828107,0,0,FALSE,0.459907724585119,0.582776604904249,0.0977702041499883,0.143621369266452
