"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00662713479252779,-0.00372256685861982,0.284861354369163,-0.181365606175397,0.0232929922807543,0.328514860692373,0.0420722821175906,4e-04,0.6672,FALSE,6.00032042342015,6.3686315712758,0.706075350801663,0.804077270499505
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0140309896694762,-0.00445399703078132,0.284861354369163,-0.181365606175397,0.0232929922807543,0.328514860692373,0.0420722821175906,4e-04,0.6672,FALSE,10.2396050313523,10.728033977292,1.19969722558261,1.39246168148515
"t4copula_loggamma",0.005,1000,"0.05",FALSE,0.00987497459479623,-0.00375093510745144,0.197308281612975,0.12562229150883,0.0232929922807543,-0.405258052271928,0.27710579396007,0.0024,0.8218,FALSE,4.25248321322827,5.27256276396651,0.569021485668219,0.734829867460114
"t4copula_loggamma",0.005,1000,"0.1",FALSE,0.0081740517056159,-0.00334893820278578,0.197308281612975,0.12562229150883,0.0232929922807543,-0.405258052271928,0.27710579396007,0.0024,0.8218,FALSE,3.50384082950274,4.33454803906482,0.468846570837533,0.597760315801661
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0124870007688192,-0.00449567921223658,0.197308281612975,0.12562229150883,0.0232929922807543,-0.405258052271928,0.27710579396007,0.0024,0.8218,FALSE,6.57883556995379,8.26924929966344,0.880300263109526,1.18163820591541
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00731188623101565,-0.00446331691611017,0.197308281612975,0.0232929922807543,0.12562229150883,0.366962358610498,0.236705781532412,3e-04,0.447,FALSE,9.21691192829458,10.3583203904912,1.22723793466162,1.41820111177426
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00609221691776496,-0.00379729942868279,0.197308281612975,0.0232929922807543,0.12562229150883,0.366962358610498,0.236705781532412,3e-04,0.447,FALSE,5.72084569257881,6.35242879031178,0.761504456555374,0.86596117135426
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0102832196552906,-0.00449407942522184,0.197308281612975,0.0232929922807543,0.12562229150883,0.366962358610498,0.236705781532412,3e-04,0.447,FALSE,9.83218622871328,11.0663922659339,1.30899777696214,1.51537790769892
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.0104353519820031,-0.00369863526245952,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.0562781714804391,-0.0792719634059205,0.0013,0.4324,FALSE,4.09927657183305,4.21277819300968,0.581384604614272,0.590342062169382
"t4copula_loggamma",0.005,1000,"0.1",TRUE,0.00855241622365313,-0.00307182855622908,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.0562781714804391,-0.0792719634059205,0.0013,0.4324,FALSE,3.23334920549376,3.31433671795571,0.459145905494288,0.466597170001835
"t4copula_loggamma",0.005,1000,"0.01",TRUE,0.0126414432529431,-0.00447803222406812,0.124138142375117,-0.0790363069473212,0.0232929922807543,0.0562781714804391,-0.0792719634059205,0.0013,0.4324,FALSE,5.8291460402589,5.92032460987372,0.825617350290465,0.849641664009026
"t4copula_loggamma",0.005,1000,"0.05",TRUE,0.00940654497278725,-0.00380892745874643,0.284861354369163,-0.0790363069473212,-0.181365606175397,-0.223191622285963,0.176190853410771,0.0032,0.5246,FALSE,3.35392158666395,3.66833058407936,0.495702976146286,0.590826905616791
